textureId,smoothness,reflectance,emission
items/dye_powder_purple,64,5,0
items/dye_powder_red,64,5,0
items/dye_powder_silver,64,5,0
items/dye_powder_white,64,5,0
items/dye_powder_yellow,64,5,0
items/egg,75,15,0
items/emerald,228,130,0
items/ender_eye,80,10,40
items/ender_pearl,80,10,0
items/experience_bottle,210,100,0
items/feather,64,10,0
items/fireball,64,5,40
items/fireworks,80,20,0
items/fireworks_charge,70,15,0
items/fireworks_charge_overlay,70,15,0
items/fish_clownfish_raw,90,25,0
items/fish_cod_cooked,70,10,0
items/fish_cod_raw,90,25,0
items/fish_pufferfish_raw,90,25,0
items/fish_salmon_cooked,70,10,0
items/fish_salmon_raw,90,25,0
items/fishing_rod_cast,80,10,0
items/fishing_rod_uncast,80,10,0
items/flint,110,30,0
items/flint_and_steel,90,230,0
items/flower_pot,80,5,0
items/ghast_tear,120,50,0
items/glowstone_dust,120,20,70
items/gold_axe,80,10,0
items/gold_boots,200,231,0
items/gold_chestplate,200,231,0
items/gold_helmet,200,231,0
items/gold_hoe,80,10,0
items/gold_horse_armor,200,231,0
items/gold_ingot,200,231,0
items/gold_leggings,200,231,0
items/gold_nugget,200,231,0
items/gold_pickaxe,80,10,0
items/gold_shovel,80,10,0
items/gold_sword,80,10,0
items/gunpowder,64,15,0
items/hopper,90,230,0
items/iron_axe,80,10,0
items/iron_boots,200,230,0
items/iron_chestplate,200,230,0
items/iron_helmet,200,230,0
items/iron_hoe,80,10,0
items/iron_horse_armor,200,230,0
items/iron_ingot,200,230,0
items/iron_leggings,200,230,0
items/iron_pickaxe,80,10,0
items/iron_shovel,80,10,0
items/iron_sword,80,10,0
items/item_frame,70,20,0
items/lead,64,5,0
items/leather,70,15,0
items/leather_boots,70,15,0
items/leather_boots_overlay,70,15,0
items/leather_chestplate,70,15,0
items/leather_chestplate_overlay,70,15,0
items/leather_helmet,70,15,0
items/leather_helmet_overlay,70,15,0
items/leather_leggings,70,15,0
items/leather_leggings_overlay,70,15,0
items/magma_cream,90,20,32
items/map_empty,64,10,0
items/map_filled,64,10,0
items/melon,90,15,0
items/melon_speckled,90,25,20
items/minecart_chest,110,230,0
items/minecart_command_block,110,230,0
items/minecart_furnace,110,230,0
items/minecart_hopper,110,230,0
items/minecart_normal,110,230,0
items/minecart_tnt,110,230,0
items/mushroom_stew,90,10,0
items/mutton_cooked,70,10,0
items/mutton_raw,50,20,0
items/name_tag,64,5,0
items/nether_star,90,20,50
items/nether_wart,45,20,0
items/netherbrick,37,15,0
items/painting,70,20,0
items/paper,64,10,0
items/porkchop_cooked,70,10,0
items/porkchop_raw,50,20,0
items/potato,60,10,0
items/potato_baked,60,10,0
items/potato_poisonous,60,5,0
items/potion_bottle_drinkable,210,100,0
items/potion_bottle_empty,210,100,0
items/potion_bottle_splash,210,100,0
items/potion_overlay,210,100,0
items/prismarine_crystals,230,90,0
items/prismarine_shard,230,20,0
items/pumpkin_pie,90,25,0
items/quartz,220,60,0
items/rabbit_cooked,70,10,0
items/rabbit_foot,64,5,0
items/rabbit_hide,70,15,0
items/rabbit_raw,50,20,0
items/rabbit_stew,90,10,0
items/record_11,135,40,0
items/record_13,135,40,0
items/record_blocks,135,40,0
items/record_cat,135,40,0
items/record_chirp,135,40,0
items/record_far,135,40,0
items/record_mall,135,40,0
items/record_mellohi,135,40,0
items/record_stal,135,40,0
items/record_strad,135,40,0
items/record_wait,135,40,0
items/record_ward,135,40,0
items/redstone_dust,70,10,0
items/reeds,70,7,0
items/repeater,115,5,0
items/rotten_flesh,70,15,0
items/saddle,70,15,0
items/seeds_melon,64,5,0
items/seeds_pumpkin,64,5,0
items/seeds_wheat,64,5,0
items/shears,90,230,0
items/sign,90,15,0
items/slimeball,150,50,0
items/snowball,130,20,0
items/spawn_egg,75,15,0
items/spawn_egg_overlay,75,15,0
items/spider_eye,100,30,0
items/spider_eye_fermented,100,40,0
items/stick,80,10,0
items/stone_axe,80,10,0
items/stone_hoe,80,10,0
items/stone_pickaxe,80,10,0
items/stone_shovel,80,10,0
items/stone_sword,80,10,0
items/string,80,25,0
items/sugar,100,30,0
items/wheat,110,15,0
items/wood_axe,80,10,0
items/wood_hoe,80,10,0
items/wood_pickaxe,80,10,0
items/wood_shovel,80,10,0
items/wood_sword,80,10,0
items/wooden_armorstand,80,10,0
